experiment,model,noise_rate,id_test_auc,id_test_accuracy,equality_opportunity,demographic_parity_diff,equalized_odds_ratio,predictive_parity_diff
college_scorecard,ft_transformer,0.3,0.8836594020464513,0.6893491124260355,0.0480349344978165,0.0066808381415122,0.0480349344978165,0.0
college_scorecard,ft_transformer,0.3,0.8782280327301515,0.6893491124260355,0.0,0.0,0.0,0.0
college_scorecard,ft_transformer,0.3,0.8604829910451042,0.6893491124260355,0.0283842794759825,0.0039477679927118,0.0283842794759825,0.0
college_scorecard,ft_transformer,0.3,0.8601673640167364,0.6893491124260355,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.0,0.7425286975742524,0.9240561896400352,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.0,0.7419802839704959,0.9240561896400352,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.0,0.7415674370525318,0.9240561896400352,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.0,0.7413347775184274,0.9240561896400352,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.0,0.741156004170774,0.9240561896400352,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.3,0.6950422797256152,0.9240561896400352,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.3,0.6943218207455615,0.9240561896400352,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.3,0.6942456564940084,0.9240561896400352,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.3,0.6941063642425033,0.9240561896400352,0.0,0.0,0.0,0.0
physionet,ft_transformer,0.3,0.6939893005540716,0.9240561896400352,0.0,0.0,0.0,0.0
diabetes_readmission,ft_transformer,0.0,0.6825683619118941,0.6092253963271071,0.0157745616050233,0.036000757131022,0.0741578711711579,0.0605225483178238
diabetes_readmission,ft_transformer,0.0,0.6824026414938844,0.6109519698634437,0.017941442476246,0.036388923941251,0.0782557555390891,0.0587274374070001
diabetes_readmission,ft_transformer,0.0,0.6823518056359275,0.6139734735520327,0.0111986555818396,0.0438854811896832,0.0794694453691069,0.0540946882063111
diabetes_readmission,ft_transformer,0.0,0.6823243721883516,0.611854496939256,0.0173019332219883,0.0397654951252832,0.0829277268185189,0.0610628976976098
diabetes_readmission,ft_transformer,0.0,0.6822830540571045,0.6119133574007221,0.0136097503430377,0.0394747129211541,0.076287760149449,0.0554345973986634
diabetes_readmission,ft_transformer,0.3,0.6614376649366053,0.595216606498195,0.3652073851936016,0.38209741752484,0.7696251539420145,0.0
diabetes_readmission,ft_transformer,0.3,0.661141831595807,0.5959229320357872,0.3739701107033981,0.3856351533738966,0.7783175545900188,0.0
diabetes_readmission,ft_transformer,0.3,0.6609734238196674,0.5932938314236383,0.368556012939197,0.3909330131071449,0.7853597479707455,0.0
diabetes_readmission,ft_transformer,0.3,0.6609309859558664,0.5948045832679328,0.3660931779470718,0.3829052982712174,0.7711546145277208,0.0
diabetes_readmission,ft_transformer,0.3,0.660425762627448,0.5949223041908649,0.3688498974508623,0.381128372113438,0.7690218026685764,0.0
brfss_diabetes,ft_transformer,0.0,0.8270247287346385,0.8326782089552239,0.2008150386889582,0.080183528914272,0.2439726839954813,0.0364160577515626
brfss_diabetes,ft_transformer,0.0,0.8269627473460625,0.832324776119403,0.1730732067089944,0.0672222199836789,0.2080161050267216,0.0291669496038283
brfss_diabetes,ft_transformer,0.0,0.8269477311763697,0.8327498507462686,0.2041235469981453,0.0820295233225947,0.2484684384307625,0.0464778734612295
brfss_diabetes,ft_transformer,0.0,,,0.0,,0.0,0.0
brfss_diabetes,ft_transformer,0.0,,,0.0,,0.0,0.0
brfss_diabetes,ft_transformer,0.3,0.7917173490386719,0.8212107462686568,0.6255972336548885,0.3300680381835097,0.867980146617916,0.0
brfss_diabetes,ft_transformer,0.3,0.7888251885560202,0.8235080597014925,0.5946955010402537,0.3047347371655762,0.8142052753242224,0.0
brfss_diabetes,ft_transformer,0.3,,,,,,0.0
brfss_diabetes,ft_transformer,0.3,,,,,,0.0
brfss_diabetes,ft_transformer,0.3,,,,,,0.0
brfss_blood_pressure,ft_transformer,0.0,0.7110802827555764,0.5941726344042482,0.3215049788833353,0.3385900795699267,0.6073065092668917,0.0286031827950886
brfss_blood_pressure,ft_transformer,0.0,0.7110262324876506,0.5954953704239311,0.3069603626641869,0.3270256213287483,0.5827169853491192,0.0369442249580899
brfss_blood_pressure,ft_transformer,0.0,0.7109466734036847,0.5960641854761272,0.318937657406331,0.338566693141266,0.6064294178935828,0.0277850301591048
brfss_blood_pressure,ft_transformer,0.0,,,0.0,,0.0,0.0
brfss_blood_pressure,ft_transformer,0.0,,,0.0,,0.0,0.0
brfss_blood_pressure,ft_transformer,0.3,0.6879364338153346,0.5523907585871791,0.2882054322135689,0.1763428087879401,0.4218444907056345,0.2220254689538476
brfss_blood_pressure,ft_transformer,0.3,0.6877595092148132,0.5619680615168658,0.282204579797745,0.1720217085322959,0.4176493157378404,0.2081515570875859
brfss_blood_pressure,ft_transformer,0.3,0.6876289637630542,0.5533027908573104,0.2834497268394746,0.1717190358527895,0.4127147340525795,0.2127217433130661
brfss_blood_pressure,ft_transformer,0.3,0.6875183393465737,0.5554141552035973,0.2743079545894843,0.166861050013461,0.4039380899246583,0.212242748339005
brfss_blood_pressure,ft_transformer,0.3,0.687249347105051,0.5579670742853177,0.2755005618195203,0.1676453669175231,0.406778976367769,0.2079265393878567
acsunemployment,ft_transformer,0.0,0.976782719023922,0.9611334201245636,0.0823845367369502,0.0139328431166462,0.0864719608212251,0.0344318102088552
acsunemployment,ft_transformer,0.0,0.9767387829271796,0.9615490401012156,0.0841399113720152,0.0136584384482798,0.0879916082298338,0.0337148048833852
acsunemployment,ft_transformer,0.0,,,0.0,,0.0,0.0
acsunemployment,ft_transformer,0.0,,,0.0,,0.0,0.0
acsunemployment,ft_transformer,0.0,,,0.0,,0.0,0.0
acsunemployment,ft_transformer,0.3,0.9026229194010092,0.9589208549547402,0.3322117339527268,0.0416353396594059,0.3543363572133901,0.2024626826858064
acsunemployment,ft_transformer,0.3,0.837686523608329,0.9458471618656448,0.104814086751949,0.0195551431621239,0.120113796818997,0.1293978349120433
acsunemployment,ft_transformer,0.3,0.8316106950737512,0.9483408817255564,0.0111794298490776,0.0015929485477619,0.0122943502716325,0.3333333333333333
